tag,N,gas,per_rank,Mmin,Mmax,uneven,hf_gs,ds_updates,warmup,hf_T,lr_first,lr_last,discarded
task SQA,12726,16,"[228, 228, 228, 228]",228,228,0,14,14,0,15,0.0002,8.645454e-06,4
task TextVQA,34602,16,"[619, 619, 619, 618]",618,619,1,38,38,1,39,0.0002,1.36387e-06,10
task ImageNet,129833,16,"[2319, 2318, 2319, 2319]",2318,2319,1,144,144,4,145,5e-05,9.927e-08,14
task GQA,72140,16,"[1288, 1289, 1289, 1289]",1288,1289,1,80,80,2,81,0.0001,3.16116e-07,8
replay 0.01 r2 gas16,127,16,"[3, 2, 3, 3]",2,3,1,1,0,0,1,,,2
replay 0.01 r2 gas1,127,1,"[3, 2, 3, 3]",2,3,1,2,2,0,2,0.0002,0.0001,0
replay 0.01 r3 gas16,473,16,"[9, 8, 9, 9]",8,9,1,1,0,0,1,,,8
replay 0.01 r3 gas1,473,1,"[9, 8, 9, 9]",8,9,1,8,8,0,8,0.0002,7.612047e-06,0
replay 0.01 r4 gas16,1771,16,"[32, 32, 31, 32]",31,32,1,1,1,0,2,0.0002,0.0002,15
replay 0.01 r4 gas1,1771,1,"[32, 32, 31, 32]",31,32,1,31,31,0,31,0.0002,5.13068e-07,0
replay 0.10 r2 gas16,1272,16,"[23, 23, 22, 23]",22,23,1,1,1,0,2,0.0002,0.0002,6
replay 0.10 r2 gas1,1272,1,"[23, 23, 22, 23]",22,23,1,22,22,0,22,0.0002,1.017856e-06,0
replay 0.10 r3 gas16,4732,16,"[85, 85, 85, 85]",85,85,0,5,5,0,6,0.0002,5e-05,5
replay 0.10 r3 gas1,4732,1,"[85, 85, 85, 85]",85,85,0,85,85,2,85,0.0001,7.1625e-08,0
replay 0.10 r4 gas16,17715,16,"[317, 316, 317, 317]",316,317,1,19,19,0,20,0.0002,4.894348e-06,12
replay 0.10 r4 gas1,17715,1,"[317, 316, 317, 317]",316,317,1,316,316,9,316,2.2222222e-05,5.236e-09,0
boundary N=1 gas1,1,1,"[0, 1, 1, 1]",0,1,1,0,0,0,1,,,0
boundary N=1 gas8,1,8,"[0, 1, 1, 1]",0,1,1,0,0,0,1,,,0
boundary N=1 gas16,1,16,"[0, 1, 1, 1]",0,1,1,0,0,0,1,,,0
boundary N=55 gas1,55,1,"[2, 2, 2, 1]",1,2,1,1,1,0,1,0.0002,0.0002,0
boundary N=55 gas8,55,8,"[2, 2, 2, 1]",1,2,1,1,0,0,1,,,1
boundary N=55 gas16,55,16,"[2, 2, 2, 1]",1,2,1,1,0,0,1,,,1
boundary N=56 gas1,56,1,"[1, 1, 1, 1]",1,1,0,1,1,0,1,0.0002,0.0002,0
boundary N=56 gas8,56,8,"[1, 1, 1, 1]",1,1,0,1,0,0,1,,,1
boundary N=56 gas16,56,16,"[1, 1, 1, 1]",1,1,0,1,0,0,1,,,1
boundary N=57 gas1,57,1,"[1, 2, 2, 2]",1,2,1,1,1,0,1,0.0002,0.0002,0
boundary N=57 gas8,57,8,"[1, 2, 2, 2]",1,2,1,1,0,0,1,,,1
boundary N=57 gas16,57,16,"[1, 2, 2, 2]",1,2,1,1,0,0,1,,,1
boundary N=111 gas1,111,1,"[3, 3, 3, 2]",2,3,1,2,2,0,2,0.0002,0.0001,0
boundary N=111 gas8,111,8,"[3, 3, 3, 2]",2,3,1,1,0,0,1,,,2
boundary N=111 gas16,111,16,"[3, 3, 3, 2]",2,3,1,1,0,0,1,,,2
boundary N=112 gas1,112,1,"[2, 2, 2, 2]",2,2,0,2,2,0,2,0.0002,0.0001,0
boundary N=112 gas8,112,8,"[2, 2, 2, 2]",2,2,0,1,0,0,1,,,2
boundary N=112 gas16,112,16,"[2, 2, 2, 2]",2,2,0,1,0,0,1,,,2
boundary N=127 gas1,127,1,"[3, 2, 3, 3]",2,3,1,2,2,0,2,0.0002,0.0001,0
boundary N=127 gas8,127,8,"[3, 2, 3, 3]",2,3,1,1,0,0,1,,,2
boundary N=127 gas16,127,16,"[3, 2, 3, 3]",2,3,1,1,0,0,1,,,2
boundary N=473 gas1,473,1,"[9, 8, 9, 9]",8,9,1,8,8,0,8,0.0002,7.612047e-06,0
boundary N=473 gas8,473,8,"[9, 8, 9, 9]",8,9,1,1,1,0,1,0.0002,0.0002,0
boundary N=473 gas16,473,16,"[9, 8, 9, 9]",8,9,1,1,0,0,1,,,8
boundary N=895 gas1,895,1,"[17, 17, 17, 16]",16,17,1,16,16,0,16,0.0002,1.921472e-06,0
boundary N=895 gas8,895,8,"[17, 17, 17, 16]",16,17,1,2,2,0,2,0.0002,0.0001,0
boundary N=895 gas16,895,16,"[17, 17, 17, 16]",16,17,1,1,1,0,1,0.0002,0.0002,0
boundary N=896 gas1,896,1,"[16, 16, 16, 16]",16,16,0,16,16,0,16,0.0002,1.921472e-06,0
boundary N=896 gas8,896,8,"[16, 16, 16, 16]",16,16,0,2,2,0,2,0.0002,0.0001,0
boundary N=896 gas16,896,16,"[16, 16, 16, 16]",16,16,0,1,1,0,1,0.0002,0.0002,0
boundary N=897 gas1,897,1,"[16, 17, 17, 17]",16,17,1,16,16,0,16,0.0002,1.921472e-06,0
boundary N=897 gas8,897,8,"[16, 17, 17, 17]",16,17,1,2,2,0,2,0.0002,0.0001,0
boundary N=897 gas16,897,16,"[16, 17, 17, 17]",16,17,1,1,1,0,1,0.0002,0.0002,0
boundary N=1272 gas1,1272,1,"[23, 23, 22, 23]",22,23,1,22,22,0,22,0.0002,1.017856e-06,0
boundary N=1272 gas8,1272,8,"[23, 23, 22, 23]",22,23,1,2,2,0,3,0.0002,0.00015,6
boundary N=1272 gas16,1272,16,"[23, 23, 22, 23]",22,23,1,1,1,0,2,0.0002,0.0002,6
boundary N=4732 gas1,4732,1,"[85, 85, 85, 85]",85,85,0,85,85,2,85,0.0001,7.1625e-08,0
boundary N=4732 gas8,4732,8,"[85, 85, 85, 85]",85,85,0,10,10,0,11,0.0002,1.5874647e-05,5
boundary N=4732 gas16,4732,16,"[85, 85, 85, 85]",85,85,0,5,5,0,6,0.0002,5e-05,5
boundary N=17715 gas1,17715,1,"[317, 316, 317, 317]",316,317,1,316,316,9,316,2.2222222e-05,5.236e-09,0
boundary N=17715 gas8,17715,8,"[317, 316, 317, 317]",316,317,1,39,39,1,40,0.0002,1.294974e-06,4
boundary N=17715 gas16,17715,16,"[317, 316, 317, 317]",316,317,1,19,19,0,20,0.0002,4.894348e-06,12
